Character,MBTI,Enneagram,Instinctual_Variant,Tritype,Socionics,Big_5,Attitudinal_Psyche,Temperament,Classic_Jungian
Takemichi Hanagaki,ISFP,9w1,so/sx,926,SEI,SLUAN,EFVL,PS,EF(S)
Hawks,ENTP,7w8,so/sx,793,ILE,SCUAI,LEVF,SP,EN(T)
Sanzu Haruchiyo,ENTP,6w7,sx/so,638,EIE,SLUEI,VLEF,PC,ET(S)
Kazuto Kirigaya,ISTP,9w8,sp/sx,953,SLI,RCUAI,FLEV,MP,IS(T)
Izana Kurokawa,ENTJ,4w3,sx/sp,487,SEE,SLUEI,VFEL,C,ES(F)
Tendou Satori,ESTP,7w8,so/sx,782,ILE,SCUEI,FLEV,S,EN(T)
Tamaki Suoh,ENFJ,2w3,so/sx,279,EIE,SLUAI,VEFL,S,EF(N)
Yoichi Isagi,INFJ,4w5,sp/sx,459,IEI,RLOAI,LEVF,PM,IN(F)
Sayaka Miki,ESFP,2w1,so/sx,271,ESE,SLUAN,VEFL,SC,ES(F)
Yoshikage Kira,ISTJ,9w1,sp/sx,963,SLI,RCOEN,LVFE,P,IS(T)
Leorio Paradinight,ESFJ,3w2,so/sx,386,SEE,SLUAN,EVFL,CS,ES(F)
Vinsmoke Sanji,ENFJ,1w2,so/sx,136,ESI,SLOAI,EVFL,CP,EF(S)
Kyoka Jiro,ISTP,9w8,sp/sx,946,SLI,RLUAN,FLEV,PC,IS(T)
Kirari Momobami,ENTJ,7w8,sp/sx,783,LIE,SCOEI,VFLE,PC,ET(N)
Saitama,ISTP,9w8,sp/sx,973,SLI,RCUAN,FLEV,P,IS(T)
Noriaki Kakyoin,INTP,5w4,sp/sx,594,LII,RCOAI,LEVF,P,IN(F)
Inuyasha,ESTP,8w7,sx/sp,837,SEE,RLUEN,VFEL,CS,ES(F)
Nagisa Shiota,INFJ,9w1,so/sp,952,EII,RCOAI,EFVL,PM,IS(F)
Akiko Yosano,ISTP,8w9,sx/so,827,ESI,RCOEI,VFEL,C,ES(T)
Anzu Hoshino,ENFP,7w8,sp/so,782,IEE,SLUAI,VELF,SC,EN(F)
Mafuyu Satou,INFP,9w1,sx/sp,964,EII,RLUAI,ELVF,PM,IS(F)
Himeno,ENTP,7w6,sx/so,729,ILE,SCUAI,FLEV,S,EN(T)
Ciel Phantomhive,INTJ,5w4,sp/so,584,LSI,RLOEI,VLEF,MC,IN(T)
Kou Mabuchi,INFP,5w4,sp/sx,549,ILI,RLOEI,LEVF,M,IN(T)
Kanao Tsuyuri,ISFJ,9w1,sp/so,962,SLI,RCOAN,FELV,P,IS(F)
Gyutaro,ISFP,4w3,sx/sp,468,ESI,RLUEN,EFVL,CM,IF(S)
Tsuyu Asui,INTP,9w1,sp/so,952,SLI,RCOAI,FLVE,P,IT(N)
Mitsuba Sousuke,INFP,4w3,so/sx,468,IEI,SLUEI,ELFV,SM,IF(N)
Hirofumi Yoshida,INTP,5w4,sp/sx,584,ILE,RCUEI,FLEV,P,EN(T)
Bokuto Koutarou,ESFP,7w6,so/sx,738,SEE,SLUAI,EFVL,S,ES(F)
Daki,ESFP,4w3,sx/sp,268,SEE,SLUEN,FEVL,C,ES(F)
Spike Spiegel,ISTP,9w8,sp/sx,974,SLI,RCUEN,FLEV,P,IS(T)
Ami Mizuno,ISFJ,9w1,sp/so,964,SLI,RCOAI,LEFV,M,IS(F)
